neighborhood,room_type,total_listings,median_daily_rate,avg_daily_rate
Joá,Entire home/apt,87,5277.0,4518.35
Itanhangá,Entire home/apt,101,1618.19,2791.83
São Conrado,Entire home/apt,145,1312.5,2428.58
Lagoa,Entire home/apt,212,879.0,1390.34
São Conrado,Private room,345,856.0,1123.28
Leblon,Entire home/apt,1659,813.67,1141.5
Cosme Velho,Entire home/apt,52,753.2,1391.2
Ipanema,Entire home/apt,3189,749.0,1044.37
Jardim Botânico,Entire home/apt,137,745.67,1161.07
Gávea,Entire home/apt,163,742.0,1430.01
Barra da Tijuca,Entire home/apt,2905,665.3,1115.19
Humaitá,Entire home/apt,130,595.0,838.21
Maracanã,Entire home/apt,55,588.0,935.49
Vargem Grande,Entire home/apt,109,584.28,1022.06
Guaratiba,Entire home/apt,155,542.5,879.54
