month_num,total_days_listed,total_booked_days,occupancy_rate_percentage,median_booked_price,avg_booked_price
1,1371378,673296,49.1,449.5,710.52
2,1238664,629376,50.81,449.5,710.52
3,1371378,681802,49.72,449.5,710.52
4,1327140,759639,57.24,449.33,710.52
5,1371378,780403,56.91,449.11,710.52
6,1327140,719550,54.22,449.5,710.52
7,1371378,400648,29.21,449.5,710.52
8,1371378,303562,22.14,449.5,710.52
9,1327140,366266,27.6,449.38,710.52
10,1371378,445868,32.51,449.5,710.52
11,1327140,438555,33.05,449.38,710.52
12,1371378,553352,40.35,449.5,710.52
